industry,year,total_emp,prev_emp,yoy_growth_pct
Management of Companies and Enterprises,2023,169868,96464,76.09
Educational Services,2024,1047516,730979,43.3
"Professional, Scientific, and Technical Services",2024,409393,289105,41.61
National Security and International Affairs,2023,5876,5343,9.98
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",2023,24239,22090,9.73
Couriers and Messengers,2023,33242,30686,8.33
"Performing Arts, Spectator Sports, and Related Industries",2023,15554,14381,8.16
"Performing Arts, Spectator Sports, and Related Industries",2024,16756,15554,7.73
Couriers and Messengers,2024,35747,33242,7.54
"Management, Scientific, and Technical Consulting Services",2023,33349,31019,7.51
"Architectural, Engineering, and Related Services",2023,38443,35939,6.97
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",2023,30643,28759,6.55
Support Activities for Agriculture and Forestry,2024,16135,15161,6.42
"Museums, Historical Sites, and Similar Institutions",2024,5395,5087,6.05
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",2024,32406,30643,5.75