industry,year,avg_wage,prev_wage,wage_growth_pct
"Funds, Trusts, and Other Financial Vehicles",2023,2074.75,1627.5,27.48
"Fishing, Hunting and Trapping",2023,1361,1132.75,20.15
Petroleum and Coal Products Manufacturing,2024,2409.5,2022.75,19.12
Support Activities for Mining,2023,2056,1740.75,18.11
"Web Search Portals, Libraries, Archives, and Other Information Services",2023,1276.25,1094,16.66
Wood Product Manufacturing,2023,1450,1251.5,15.86
Furniture and Related Product Manufacturing,2023,1178,1039.5,13.32
Facilities Support Services,2023,1058.75,936.5,13.05
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",2024,2398,2122.25,12.99
National Security and International Affairs,2023,1434.25,1269.5,12.98
Pipeline Transportation,2024,2597,2299.25,12.95
Offices of Bank Holding Companies,2023,3091,2755.75,12.17
Business Support Services,2023,1083,966,12.11
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",2023,2122.25,1894.5,12.02
Petroleum and Coal Products Manufacturing,2023,2022.75,1813,11.57