industry,total_emp,pct_of_total_emp,pct_of_total_wages
Educational Services,315452,9.26,7.81
Health Care and Social Assistance,231745,6.8,6.31
Manufacturing,217784,6.39,8.16
Retail Trade,176128,5.17,2.85
Accommodation and Food Services,122664,3.6,1.27
"Professional, Scientific, and Technical Services",116672,3.42,5.51
Food Services and Drinking Places,104686,3.07,1
Elementary and Secondary Schools,103265,3.03,2.19
Finance and Insurance,91778,2.69,4.22
Construction,86482,2.54,3.3
Transportation and Warehousing,74299,2.18,2.02
Hospitals,72581,2.13,2.33
Public Administration,68766,2.02,2.08
Wholesale Trade,67556,1.98,2.81
Ambulatory Health Care Services,62589,1.84,2.38